date_of_night,count
 2015-10-07 00:00:00,17434
 2015-10-08 00:00:00,17430
 2015-10-09 00:00:00,17364
 2015-10-10 00:00:00,17356
 2015-10-11 00:00:00,17404
 2015-10-12 00:00:00,17481
 2015-10-13 00:00:00,17514
 2015-10-14 00:00:00,17527
 2015-10-15 00:00:00,17571
 2015-10-16 00:00:00,17552
 2015-10-17 00:00:00,17524
 2015-10-18 00:00:00,17546
 2015-10-19 00:00:00,17626
 2015-10-20 00:00:00,17676
 2015-10-21 00:00:00,17844
 2015-10-22 00:00:00,17949
 2015-10-23 00:00:00,17940
 2015-10-24 00:00:00,17971
 2015-10-25 00:00:00,17994
 2015-10-26 00:00:00,18084
 2015-10-27 00:00:00,18172
 2015-10-28 00:00:00,18170
 2015-10-29 00:00:00,18182
 2015-10-30 00:00:00,18171
 2015-10-31 00:00:00,18134
 2015-11-01 00:00:00,18145
 2015-11-02 00:00:00,18218
 2015-11-03 00:00:00,18242
 2015-11-04 00:00:00,18253
 2015-11-05 00:00:00,18274
 2015-11-06 00:00:00,18270
 2015-11-07 00:00:00,18220
 2015-11-08 00:00:00,18272
 2015-11-09 00:00:00,18338
 2015-11-10 00:00:00,18345
 2015-11-11 00:00:00,18374
 2015-11-12 00:00:00,18345
 2015-11-13 00:00:00,18366
 2015-11-14 00:00:00,18313
 2015-11-15 00:00:00,18343
 2015-11-16 00:00:00,18393
 2015-11-17 00:00:00,18397
 2015-11-18 00:00:00,18360
 2015-11-19 00:00:00,18325
 2015-11-20 00:00:00,18332
 2015-11-21 00:00:00,18314
 2015-11-22 00:00:00,18348
 2015-11-23 00:00:00,18398
 2015-11-24 00:00:00,18336
 2015-11-25 00:00:00,18330
 2015-11-26 00:00:00,18259
 2015-11-27 00:00:00,18236
 2015-11-28 00:00:00,18227
 2015-11-29 00:00:00,18343
 2015-11-30 00:00:00,18529
 2015-12-01 00:00:00,18585
 2015-12-02 00:00:00,18589
 2015-12-03 00:00:00,18600
 2015-12-04 00:00:00,18623
 2015-12-05 00:00:00,18636
 2015-12-06 00:00:00,18625
 2015-12-07 00:00:00,18658
 2015-12-08 00:00:00,18696
 2015-12-09 00:00:00,18699
 2015-12-10 00:00:00,18738
 2015-12-11 00:00:00,18702
 2015-12-12 00:00:00,18659
 2015-12-13 00:00:00,18694
 2015-12-14 00:00:00,18714
 2015-12-15 00:00:00,18722
 2015-12-16 00:00:00,18723
 2015-12-17 00:00:00,18712
 2015-12-18 00:00:00,18666
 2015-12-19 00:00:00,18585
 2015-12-20 00:00:00,18474
 2015-12-21 00:00:00,18463
 2015-12-22 00:00:00,18404
 2015-12-23 00:00:00,18320
 2015-12-24 00:00:00,18208
 2015-12-25 00:00:00,18583
 2015-12-26 00:00:00,19000
 2015-12-27 00:00:00,19219
 2015-12-28 00:00:00,19464
 2015-12-29 00:00:00,19596
 2015-12-30 00:00:00,19628
 2015-12-31 00:00:00,19710
 2016-01-01 00:00:00,19697
 2016-01-02 00:00:00,19803
 2016-01-03 00:00:00,20082
 2016-01-04 00:00:00,20384
 2016-01-05 00:00:00,20515
 2016-01-06 00:00:00,20606
 2016-01-07 00:00:00,20663
 2016-01-08 00:00:00,20700
 2016-01-09 00:00:00,20699
 2016-01-10 00:00:00,20770
 2016-01-11 00:00:00,20817
 2016-01-12 00:00:00,20824
 2016-01-13 00:00:00,20835
 2016-01-14 00:00:00,20858
 2016-01-15 00:00:00,20810
 2016-01-16 00:00:00,20812
 2016-01-17 00:00:00,20828
 2016-01-18 00:00:00,20908
 2016-01-19 00:00:00,20930
 2016-01-20 00:00:00,20941
 2016-01-21 00:00:00,20937
 2016-01-22 00:00:00,20930
 2016-01-23 00:00:00,20857
 2016-01-24 00:00:00,20905
 2016-01-25 00:00:00,20952
 2016-01-26 00:00:00,20977
 2016-01-27 00:00:00,21021
 2016-01-28 00:00:00,20999
 2016-01-29 00:00:00,20973
 2016-01-30 00:00:00,20933
 2016-01-31 00:00:00,20950
 2016-02-01 00:00:00,20996
 2016-02-02 00:00:00,20999
 2016-02-03 00:00:00,20983
 2016-02-04 00:00:00,20976
 2016-02-05 00:00:00,20978
 2016-02-06 00:00:00,20887
 2016-02-07 00:00:00,20898
 2016-02-08 00:00:00,20932
 2016-02-09 00:00:00,20920
 2016-02-10 00:00:00,20913
 2016-02-11 00:00:00,20956
 2016-02-12 00:00:00,20910
 2016-02-13 00:00:00,20843
 2016-02-14 00:00:00,20856
 2016-02-15 00:00:00,20887
 2016-02-16 00:00:00,20880
 2016-02-17 00:00:00,20893
 2016-02-18 00:00:00,20897
 2016-02-19 00:00:00,20885
 2016-02-20 00:00:00,20814
 2016-02-21 00:00:00,20800
 2016-02-22 00:00:00,20844
 2016-02-23 00:00:00,20823
 2016-02-24 00:00:00,20788
 2016-02-25 00:00:00,20760
 2016-02-26 00:00:00,20726
 2016-02-27 00:00:00,20628
 2016-02-28 00:00:00,20600
 2016-02-29 00:00:00,20654
 2016-03-01 00:00:00,20637
 2016-03-02 00:00:00,20630
 2016-03-03 00:00:00,20568
 2016-03-04 00:00:00,20562
 2016-03-05 00:00:00,20502
 2016-03-06 00:00:00,20517
 2016-03-07 00:00:00,20522
 2016-03-08 00:00:00,20533
 2016-03-09 00:00:00,20507
 2016-03-10 00:00:00,20476
 2016-03-11 00:00:00,20441
 2016-03-12 00:00:00,20353
 2016-03-13 00:00:00,20382
 2016-03-14 00:00:00,20411
 2016-03-15 00:00:00,20421
 2016-03-16 00:00:00,20377
 2016-03-17 00:00:00,20370
 2016-03-18 00:00:00,20321
 2016-03-19 00:00:00,20251
 2016-03-20 00:00:00,20237
 2016-03-21 00:00:00,20316
 2016-03-22 00:00:00,20339
 2016-03-23 00:00:00,20249
 2016-03-24 00:00:00,20190
 2016-03-25 00:00:00,20028
 2016-03-26 00:00:00,19950
 2016-03-27 00:00:00,19895
 2016-03-28 00:00:00,20011
