date_of_night,count
 2015-10-15 00:00:00,369
 2015-10-16 00:00:00,320
 2015-10-17 00:00:00,358
 2015-10-18 00:00:00,406
 2015-10-19 00:00:00,460
 2015-10-20 00:00:00,517
 2015-10-21 00:00:00,428
 2015-10-22 00:00:00,368
 2015-10-23 00:00:00,335
 2015-10-24 00:00:00,360
 2015-10-25 00:00:00,409
 2015-10-26 00:00:00,443
 2015-10-27 00:00:00,414
 2015-10-28 00:00:00,395
 2015-10-29 00:00:00,342
 2015-10-30 00:00:00,313
 2015-10-31 00:00:00,338
 2015-11-01 00:00:00,415
 2015-11-02 00:00:00,426
 2015-11-03 00:00:00,408
 2015-11-04 00:00:00,380
 2015-11-05 00:00:00,332
 2015-11-06 00:00:00,331
 2015-11-07 00:00:00,351
 2015-11-08 00:00:00,449
 2015-11-09 00:00:00,439
 2015-11-10 00:00:00,408
 2015-11-11 00:00:00,350
 2015-11-12 00:00:00,378
 2015-11-13 00:00:00,333
 2015-11-14 00:00:00,340
 2015-11-15 00:00:00,426
 2015-11-16 00:00:00,387
 2015-11-17 00:00:00,425
 2015-11-18 00:00:00,371
 2015-11-19 00:00:00,309
 2015-11-20 00:00:00,315
 2015-11-21 00:00:00,330
 2015-11-22 00:00:00,380
 2015-11-23 00:00:00,373
 2015-11-24 00:00:00,320
 2015-11-25 00:00:00,285
 2015-11-26 00:00:00,287
 2015-11-27 00:00:00,281
 2015-11-28 00:00:00,317
 2015-11-29 00:00:00,386
 2015-11-30 00:00:00,363
 2015-12-01 00:00:00,362
 2015-12-02 00:00:00,369
 2015-12-03 00:00:00,313
 2015-12-04 00:00:00,306
 2015-12-05 00:00:00,352
 2015-12-06 00:00:00,354
 2015-12-07 00:00:00,375
 2015-12-08 00:00:00,352
 2015-12-09 00:00:00,351
 2015-12-10 00:00:00,317
 2015-12-11 00:00:00,296
 2015-12-12 00:00:00,292
 2015-12-13 00:00:00,349
 2015-12-14 00:00:00,350
 2015-12-15 00:00:00,335
 2015-12-16 00:00:00,327
 2015-12-17 00:00:00,281
 2015-12-18 00:00:00,266
 2015-12-19 00:00:00,273
 2015-12-20 00:00:00,309
 2015-12-21 00:00:00,305
 2015-12-22 00:00:00,288
 2015-12-23 00:00:00,238
 2015-12-24 00:00:00,168
 2015-12-25 00:00:00,242
 2015-12-26 00:00:00,258
 2015-12-27 00:00:00,308
 2015-12-28 00:00:00,349
 2015-12-29 00:00:00,327
 2015-12-30 00:00:00,270
 2015-12-31 00:00:00,354
 2016-01-01 00:00:00,350
 2016-01-02 00:00:00,352
 2016-01-03 00:00:00,461
 2016-01-04 00:00:00,430
 2016-01-05 00:00:00,436
 2016-01-06 00:00:00,449
 2016-01-07 00:00:00,385
 2016-01-08 00:00:00,392
 2016-01-09 00:00:00,443
 2016-01-10 00:00:00,463
 2016-01-11 00:00:00,471
 2016-01-12 00:00:00,470
 2016-01-13 00:00:00,429
 2016-01-14 00:00:00,393
 2016-01-15 00:00:00,364
 2016-01-16 00:00:00,424
 2016-01-17 00:00:00,451
 2016-01-18 00:00:00,431
 2016-01-19 00:00:00,429
 2016-01-20 00:00:00,409
 2016-01-21 00:00:00,465
 2016-01-22 00:00:00,432
 2016-01-23 00:00:00,457
 2016-01-24 00:00:00,437
 2016-01-25 00:00:00,467
 2016-01-26 00:00:00,468
 2016-01-27 00:00:00,475
 2016-01-28 00:00:00,422
 2016-01-29 00:00:00,456
 2016-01-30 00:00:00,451
 2016-01-31 00:00:00,467
 2016-02-01 00:00:00,485
 2016-02-02 00:00:00,442
 2016-02-03 00:00:00,457
 2016-02-04 00:00:00,411
 2016-02-05 00:00:00,413
 2016-02-06 00:00:00,406
 2016-02-07 00:00:00,442
 2016-02-08 00:00:00,427
 2016-02-09 00:00:00,398
 2016-02-10 00:00:00,408
 2016-02-11 00:00:00,408
 2016-02-12 00:00:00,346
 2016-02-13 00:00:00,378
 2016-02-14 00:00:00,429
 2016-02-15 00:00:00,405
 2016-02-16 00:00:00,409
 2016-02-17 00:00:00,384
 2016-02-18 00:00:00,356
 2016-02-19 00:00:00,379
 2016-02-20 00:00:00,366
 2016-02-21 00:00:00,397
 2016-02-22 00:00:00,370
 2016-02-23 00:00:00,385
 2016-02-24 00:00:00,385
 2016-02-25 00:00:00,370
 2016-02-26 00:00:00,381
 2016-02-27 00:00:00,391
 2016-02-28 00:00:00,371
 2016-02-29 00:00:00,401
 2016-03-01 00:00:00,375
 2016-03-02 00:00:00,335
 2016-03-03 00:00:00,362
 2016-03-04 00:00:00,385
 2016-03-05 00:00:00,388
 2016-03-06 00:00:00,399
 2016-03-07 00:00:00,378
 2016-03-08 00:00:00,359
 2016-03-09 00:00:00,342
 2016-03-10 00:00:00,309
 2016-03-11 00:00:00,312
 2016-03-12 00:00:00,357
 2016-03-13 00:00:00,381
 2016-03-14 00:00:00,360
 2016-03-15 00:00:00,395
 2016-03-16 00:00:00,357
 2016-03-17 00:00:00,361
 2016-03-18 00:00:00,345
 2016-03-19 00:00:00,381
 2016-03-20 00:00:00,371
 2016-03-21 00:00:00,382
 2016-03-22 00:00:00,384
 2016-03-23 00:00:00,327
 2016-03-24 00:00:00,340
 2016-03-25 00:00:00,319
 2016-03-26 00:00:00,372
 2016-03-27 00:00:00,362
 2016-03-28 00:00:00,315
