account_id,algorithm,version,created_date,target_date
15304,hmm,none,2015-05-08,2015-05-06
15304,hmm,none,2015-05-12,2015-05-10
15304,hmm,none,2015-05-18,2015-05-17
15305,hmm,none,2015-05-09,2015-05-07
15305,hmm,none,2015-05-10,2015-05-08
15305,hmm,none,2015-05-11,2015-05-09
15305,hmm,none,2015-05-12,2015-05-10
15305,hmm,none,2015-05-13,2015-05-12
15305,hmm,none,2015-05-16,2015-05-14
15305,hmm,none,2015-05-16,2015-05-15
17600,hmm,none,2015-05-09,2015-05-07
17600,hmm,none,2015-05-11,2015-05-08
17600,hmm,none,2015-05-11,2015-05-09
17600,hmm,none,2015-05-13,2015-05-11
17600,hmm,none,2015-05-13,2015-05-12
17600,hmm,none,2015-05-14,2015-05-13
17600,hmm,none,2015-05-15,2015-05-14
17600,hmm,none,2015-05-17,2015-05-16
19544,hmm,none,2015-05-13,2015-05-11
19544,hmm,none,2015-05-14,2015-05-12
19544,hmm,none,2015-05-15,2015-05-13
19544,hmm,none,2015-05-16,2015-05-14
19544,hmm,none,2015-05-16,2015-05-15
19544,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
19544,hmm,none,2015-05-17,2015-05-16
19544,hmm,none,2015-05-18,2015-05-17
17603,hmm,none,2015-05-09,2015-05-07
17603,hmm,none,2015-05-09,2015-05-08
17603,hmm,none,2015-05-10,2015-05-09
17603,hmm,none,2015-05-17,2015-05-15
17603,hmm,none,2015-05-17,2015-05-16
15306,hmm,none,2015-05-08,2015-05-06
15306,hmm,none,2015-05-11,2015-05-09
15306,hmm,none,2015-05-12,2015-05-10
15306,wupang,wupang_backup_for_hmm,2015-05-13,2015-05-11
15306,hmm,none,2015-05-13,2015-05-12
19547,hmm,none,2015-05-13,2015-05-11
19547,hmm,none,2015-05-14,2015-05-12
19547,hmm,none,2015-05-15,2015-05-13
19547,hmm,none,2015-05-16,2015-05-14
19547,hmm,none,2015-05-17,2015-05-15
19547,hmm,none,2015-05-17,2015-05-16
19547,hmm,none,2015-05-18,2015-05-17
19550,hmm,none,2015-05-14,2015-05-11
19550,hmm,none,2015-05-14,2015-05-12
19550,hmm,none,2015-05-14,2015-05-13
19550,hmm,none,2015-05-16,2015-05-14
19550,hmm,none,2015-05-16,2015-05-15
19550,hmm,none,2015-05-17,2015-05-16
15296,hmm,none,2015-05-16,2015-05-13
15296,hmm,none,2015-05-16,2015-05-14
15296,hmm,none,2015-05-16,2015-05-15
15296,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
15301,hmm,none,2015-05-14,2015-05-12
15301,hmm,none,2015-05-15,2015-05-13
15301,hmm,none,2015-05-15,2015-05-14
15301,hmm,none,2015-05-18,2015-05-16
19542,hmm,none,2015-05-13,2015-05-11
19542,hmm,none,2015-05-13,2015-05-12
19542,hmm,none,2015-05-17,2015-05-16
15321,hmm,none,2015-05-14,2015-05-07
15321,wupang,wupang_backup_for_hmm,2015-05-14,2015-05-09
15321,hmm,none,2015-05-14,2015-05-11
15321,hmm,none,2015-05-14,2015-05-12
15321,wupang,wupang_backup_for_hmm,2015-05-14,2015-05-13
19528,hmm,none,2015-05-13,2015-05-11
19528,hmm,none,2015-05-15,2015-05-12
19528,hmm,none,2015-05-15,2015-05-13
19528,hmm,none,2015-05-16,2015-05-14
19528,hmm,none,2015-05-16,2015-05-15
19528,hmm,none,2015-05-18,2015-05-17
15323,hmm,none,2015-05-07,2015-05-06
15323,hmm,none,2015-05-12,2015-05-10
15323,hmm,none,2015-05-12,2015-05-11
15323,hmm,none,2015-05-13,2015-05-12
15323,hmm,none,2015-05-14,2015-05-13
15323,hmm,none,2015-05-15,2015-05-14
15323,hmm,none,2015-05-16,2015-05-15
15323,hmm,none,2015-05-17,2015-05-16
15322,hmm,none,2015-05-10,2015-05-08
15322,hmm,none,2015-05-11,2015-05-10
15322,hmm,none,2015-05-12,2015-05-11
15322,hmm,none,2015-05-13,2015-05-12
15322,hmm,none,2015-05-16,2015-05-14
15322,hmm,none,2015-05-18,2015-05-17
17620,hmm,none,2015-05-10,2015-05-07
17620,hmm,none,2015-05-10,2015-05-08
17620,hmm,none,2015-05-10,2015-05-09
17620,hmm,none,2015-05-13,2015-05-11
17620,hmm,none,2015-05-14,2015-05-12
17620,hmm,none,2015-05-14,2015-05-13
15313,hmm,none,2015-05-12,2015-05-11
15313,hmm,none,2015-05-14,2015-05-12
15313,hmm,none,2015-05-15,2015-05-13
15313,wupang,wupang_backup_for_hmm,2015-05-15,2015-05-14
15313,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
15313,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
15313,hmm,none,2015-05-18,2015-05-17
15312,hmm,none,2015-05-08,2015-05-06
15312,hmm,none,2015-05-10,2015-05-09
15312,hmm,none,2015-05-12,2015-05-10
15312,hmm,none,2015-05-12,2015-05-11
19525,hmm,none,2015-05-13,2015-05-11
19525,hmm,none,2015-05-13,2015-05-12
19525,hmm,none,2015-05-15,2015-05-14
19525,hmm,none,2015-05-17,2015-05-16
15316,hmm,none,2015-05-08,2015-05-06
15316,hmm,none,2015-05-08,2015-05-07
15316,hmm,none,2015-05-12,2015-05-10
15316,hmm,none,2015-05-12,2015-05-11
15316,hmm,none,2015-05-13,2015-05-12
15316,hmm,none,2015-05-14,2015-05-13
15316,hmm,none,2015-05-17,2015-05-14
15316,hmm,none,2015-05-17,2015-05-15
15316,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
19583,hmm,none,2015-05-13,2015-05-11
19583,hmm,none,2015-05-13,2015-05-12
19583,hmm,none,2015-05-14,2015-05-13
17638,hmm,none,2015-05-09,2015-05-07
17638,hmm,none,2015-05-09,2015-05-08
17638,hmm,none,2015-05-11,2015-05-10
17638,hmm,none,2015-05-12,2015-05-11
17638,hmm,none,2015-05-13,2015-05-12
17637,hmm,none,2015-05-08,2015-05-07
17637,hmm,none,2015-05-10,2015-05-08
17637,hmm,none,2015-05-11,2015-05-09
17637,hmm,none,2015-05-12,2015-05-10
17637,hmm,none,2015-05-12,2015-05-11
17637,hmm,none,2015-05-14,2015-05-12
17637,hmm,none,2015-05-15,2015-05-13
17637,wupang,wupang_backup_for_hmm,2015-05-14,2015-05-13
17637,hmm,none,2015-05-16,2015-05-14
17637,hmm,none,2015-05-17,2015-05-15
