date,event_type,account_id,algorithm,delta,version
2015-05-06,IN_BED,16787,hmm,61,none
2015-05-06,IN_BED,16981,wupang,251,wupang_backup_for_hmm
2015-05-06,IN_BED,16769,hmm,158,none
2015-05-06,OUT_OF_BED,1520,hmm,-22,none
2015-05-06,SLEEP,15457,wupang,296,wupang_backup_for_hmm
2015-05-06,WAKE_UP,15457,wupang,457,wupang_backup_for_hmm
2015-05-06,OUT_OF_BED,15457,wupang,480,wupang_backup_for_hmm
2015-05-06,OUT_OF_BED,1670,wupang,0,wupang_backup_for_hmm
2015-05-06,OUT_OF_BED,1721,hmm,14,none
2015-05-06,OUT_OF_BED,16336,wupang,157,wupang_backup_for_hmm
2015-05-06,OUT_OF_BED,1765,hmm,33,none
2015-05-06,WAKE_UP,15185,hmm,118,none
2015-05-06,WAKE_UP,15185,hmm,42,none
2015-05-06,OUT_OF_BED,15185,hmm,15,none
2015-05-06,WAKE_UP,1768,hmm,13,none
2015-05-06,OUT_OF_BED,1768,hmm,3,none
2015-05-06,OUT_OF_BED,15990,hmm,108,none
2015-05-06,OUT_OF_BED,15990,hmm,23,none
2015-05-06,OUT_OF_BED,17042,wupang,29,wupang_backup_for_hmm
2015-05-06,OUT_OF_BED,1765,hmm,73,none
2015-05-06,OUT_OF_BED,1361,wupang,374,wupang_backup_for_hmm
2015-05-06,IN_BED,17067,hmm,15,none
2015-05-06,WAKE_UP,17058,hmm,150,none
2015-05-06,WAKE_UP,17067,hmm,8,none
2015-05-06,OUT_OF_BED,17067,hmm,15,none
2015-05-06,SLEEP,17070,hmm,20,none
2015-05-06,IN_BED,16610,hmm,120,none
2015-05-06,SLEEP,15532,hmm,16,none
2015-05-06,WAKE_UP,16156,hmm,35,none
2015-05-06,OUT_OF_BED,16705,hmm,15,none
2015-05-06,WAKE_UP,16705,hmm,30,none
2015-05-06,IN_BED,17075,hmm,19,none
2015-05-06,WAKE_UP,17075,hmm,-6,none
2015-05-06,OUT_OF_BED,17075,hmm,-12,none
2015-05-06,IN_BED,17033,hmm,129,none
2015-05-06,IN_BED,15073,hmm,60,none
2015-05-06,SLEEP,15073,hmm,32,none
2015-05-06,OUT_OF_BED,15073,hmm,75,none
2015-05-06,SLEEP,15073,hmm,360,none
2015-05-06,IN_BED,15949,hmm,108,none
2015-05-06,SLEEP,15949,hmm,120,none
2015-05-06,IN_BED,16195,hmm,60,none
2015-05-06,WAKE_UP,16856,hmm,105,none
2015-05-06,OUT_OF_BED,16856,hmm,16,none
2015-05-06,SLEEP,16885,hmm,26,none
2015-05-06,WAKE_UP,15783,hmm,48,none
2015-05-06,OUT_OF_BED,15783,hmm,33,none
2015-05-06,OUT_OF_BED,17035,hmm,8,none
2015-05-06,SLEEP,16902,hmm,-14,none
2015-05-06,WAKE_UP,15621,hmm,77,none
2015-05-06,OUT_OF_BED,1508,hmm,4,none
2015-05-06,WAKE_UP,1508,hmm,36,none
2015-05-06,WAKE_UP,1508,hmm,124,none
2015-05-06,WAKE_UP,1508,hmm,237,none
2015-05-06,SLEEP,1508,hmm,-244,none
2015-05-06,SLEEP,1508,hmm,-343,none
2015-05-06,WAKE_UP,1508,hmm,4,none
2015-05-06,SLEEP,16746,hmm,218,none
2015-05-06,OUT_OF_BED,17232,hmm,50,none
2015-05-06,OUT_OF_BED,16987,hmm,9,none
2015-05-06,OUT_OF_BED,15886,hmm,21,none
2015-05-06,OUT_OF_BED,15886,hmm,13,none
2015-05-06,WAKE_UP,15970,hmm,9,none
2015-05-06,OUT_OF_BED,15970,hmm,9,none
2015-05-06,OUT_OF_BED,1257,hmm,28,none
2015-05-06,WAKE_UP,16797,hmm,57,none
2015-05-06,OUT_OF_BED,17045,hmm,22,none
2015-05-06,WAKE_UP,17045,hmm,56,none
2015-05-06,OUT_OF_BED,16834,hmm,16,none
2015-05-06,WAKE_UP,16960,hmm,34,none
2015-05-06,OUT_OF_BED,16729,hmm,16,none
2015-05-06,OUT_OF_BED,16960,hmm,14,none
2015-05-06,WAKE_UP,1792,hmm,25,none
2015-05-06,OUT_OF_BED,1792,hmm,35,none
2015-05-06,OUT_OF_BED,1278,hmm,20,none
2015-05-06,IN_BED,17030,wupang,18,wupang_backup_for_hmm
2015-05-06,IN_BED,1278,hmm,-11,none
2015-05-06,SLEEP,1792,hmm,-112,none
2015-05-06,WAKE_UP,1792,hmm,-62,none
2015-05-06,WAKE_UP,17030,wupang,83,wupang_backup_for_hmm
2015-05-06,IN_BED,16915,hmm,64,none
2015-05-06,WAKE_UP,16915,hmm,206,none
2015-05-06,WAKE_UP,17030,wupang,78,wupang_backup_for_hmm
2015-05-06,OUT_OF_BED,15132,hmm,15,none
2015-05-06,IN_BED,16622,hmm,127,none
2015-05-06,SLEEP,16622,hmm,135,none
2015-05-06,WAKE_UP,16622,hmm,108,none
2015-05-06,OUT_OF_BED,1931,hmm,19,none
2015-05-06,OUT_OF_BED,16965,hmm,14,none
2015-05-06,SLEEP,16925,hmm,124,none
2015-05-06,WAKE_UP,16925,hmm,340,none
2015-05-06,SLEEP,15187,hmm,40,none
2015-05-06,WAKE_UP,17052,hmm,50,none
2015-05-06,IN_BED,16973,hmm,91,none
2015-05-06,SLEEP,16973,hmm,92,none
2015-05-06,WAKE_UP,1363,hmm,33,none
2015-05-06,WAKE_UP,17049,hmm,0,none
2015-05-06,SLEEP,16911,hmm,64,none
2015-05-06,WAKE_UP,1363,hmm,-10,none
2015-05-06,IN_BED,16877,hmm,-129,none
2015-05-06,IN_BED,15069,hmm,-26,none
2015-05-06,WAKE_UP,1497,hmm,30,none
2015-05-06,OUT_OF_BED,1497,hmm,35,none
2015-05-06,IN_BED,15892,hmm,69,none
2015-05-06,SLEEP,15892,hmm,71,none
2015-05-06,IN_BED,15935,hmm,107,none
2015-05-06,SLEEP,15935,hmm,53,none
2015-05-06,OUT_OF_BED,16013,hmm,16,none
2015-05-06,WAKE_UP,15935,hmm,7,none
2015-05-06,OUT_OF_BED,15086,hmm,-15,none
2015-05-06,WAKE_UP,17275,hmm,60,none
2015-05-06,WAKE_UP,16663,hmm,176,none
2015-05-06,OUT_OF_BED,16663,hmm,11,none
2015-05-06,WAKE_UP,15323,hmm,28,none
2015-05-06,WAKE_UP,15323,hmm,28,none
2015-05-06,OUT_OF_BED,15323,hmm,12,none
2015-05-06,OUT_OF_BED,15323,hmm,9,none
2015-05-06,WAKE_UP,16740,hmm,43,none
2015-05-06,OUT_OF_BED,15852,hmm,16,none
2015-05-06,WAKE_UP,17128,hmm,17,none
2015-05-06,OUT_OF_BED,16495,hmm,14,none
2015-05-06,OUT_OF_BED,16495,hmm,-2,none
2015-05-06,WAKE_UP,1363,hmm,-10,none
2015-05-06,WAKE_UP,15828,hmm,22,none
2015-05-06,OUT_OF_BED,16247,hmm,15,none
2015-05-06,OUT_OF_BED,16247,hmm,15,none
2015-05-06,WAKE_UP,16247,hmm,45,none
2015-05-06,WAKE_UP,16247,hmm,45,none
2015-05-06,IN_BED,16965,hmm,-127,none
2015-05-06,SLEEP,16965,hmm,-96,none
2015-05-06,IN_BED,16554,hmm,-21,none
2015-05-06,OUT_OF_BED,17295,hmm,21,none
2015-05-06,OUT_OF_BED,15926,hmm,24,none
2015-05-06,OUT_OF_BED,17170,hmm,183,none
2015-05-06,WAKE_UP,15926,hmm,-78,none
2015-05-06,WAKE_UP,17170,hmm,120,none
2015-05-06,OUT_OF_BED,15926,hmm,-79,none
2015-05-06,IN_BED,16925,hmm,142,none
2015-05-06,SLEEP,16829,hmm,783,none
2015-05-06,SLEEP,16700,hmm,94,none
2015-05-06,OUT_OF_BED,16740,hmm,52,none
2015-05-06,WAKE_UP,1853,hmm,46,none
2015-05-06,OUT_OF_BED,1853,hmm,12,none
2015-05-06,SLEEP,16982,hmm,0,none
2015-05-06,SLEEP,16982,hmm,0,none
2015-05-06,SLEEP,16982,hmm,29,none
2015-05-06,OUT_OF_BED,1853,hmm,15,none
2015-05-06,WAKE_UP,16852,hmm,120,none
2015-05-06,OUT_OF_BED,15983,hmm,20,none
2015-05-06,WAKE_UP,16912,hmm,45,none
2015-05-06,OUT_OF_BED,17086,hmm,18,none
2015-05-06,IN_BED,15118,hmm,180,none
2015-05-06,OUT_OF_BED,15564,hmm,27,none
2015-05-06,SLEEP,1560,hmm,148,none
2015-05-06,IN_BED,17068,hmm,153,none
2015-05-06,WAKE_UP,17202,hmm,50,none
2015-05-06,IN_BED,16903,hmm,136,none
2015-05-06,WAKE_UP,16315,hmm,53,none
2015-05-06,OUT_OF_BED,17202,hmm,35,none
2015-05-06,SLEEP,17147,hmm,124,none
2015-05-06,SLEEP,17068,hmm,109,none
2015-05-06,OUT_OF_BED,17068,hmm,13,none
2015-05-06,SLEEP,17068,hmm,303,none
2015-05-06,SLEEP,15775,hmm,-37,none
2015-05-06,OUT_OF_BED,15775,hmm,13,none
2015-05-06,WAKE_UP,15775,hmm,35,none
2015-05-06,SLEEP,15828,hmm,-1,none
2015-05-06,OUT_OF_BED,1748,hmm,38,none
2015-05-06,OUT_OF_BED,15287,hmm,89,none
2015-05-06,SLEEP,16852,hmm,0,none
2015-05-06,OUT_OF_BED,16468,hmm,232,none
2015-05-06,WAKE_UP,16468,hmm,225,none
2015-05-06,OUT_OF_BED,17301,wupang,360,wupang_backup_for_hmm
2015-05-06,IN_BED,16756,hmm,37,none
2015-05-06,SLEEP,17301,wupang,360,wupang_backup_for_hmm
2015-05-06,IN_BED,17301,wupang,385,wupang_backup_for_hmm
2015-05-06,WAKE_UP,17301,wupang,300,wupang_backup_for_hmm
2015-05-06,WAKE_UP,15294,hmm,60,none
2015-05-06,OUT_OF_BED,15658,hmm,29,none
2015-05-06,OUT_OF_BED,15651,hmm,131,none
2015-05-06,OUT_OF_BED,15064,hmm,26,none
2015-05-06,WAKE_UP,16419,hmm,0,none
2015-05-06,WAKE_UP,16435,hmm,94,none
2015-05-06,OUT_OF_BED,16435,hmm,-18,none
2015-05-06,IN_BED,15997,hmm,123,none
2015-05-06,IN_BED,16661,hmm,-187,none
2015-05-06,SLEEP,15997,hmm,120,none
2015-05-06,SLEEP,15997,hmm,60,none
2015-05-06,IN_BED,16836,hmm,60,none
2015-05-06,OUT_OF_BED,16670,hmm,41,none
2015-05-06,OUT_OF_BED,17002,hmm,129,none
2015-05-06,OUT_OF_BED,15265,hmm,-30,none
2015-05-06,IN_BED,15840,hmm,63,none
2015-05-06,OUT_OF_BED,15357,hmm,21,none
2015-05-06,OUT_OF_BED,16643,hmm,26,none
2015-05-06,OUT_OF_BED,16643,hmm,11,none
2015-05-06,OUT_OF_BED,16140,hmm,13,none
2015-05-06,IN_BED,1423,hmm,-120,none
2015-05-06,WAKE_UP,16697,hmm,29,none
2015-05-06,IN_BED,16683,hmm,245,none
2015-05-06,SLEEP,15194,hmm,67,none
2015-05-06,IN_BED,16697,hmm,127,none
2015-05-06,IN_BED,16994,hmm,-196,none
2015-05-06,IN_BED,17245,hmm,47,none
2015-05-06,SLEEP,16386,hmm,30,none
2015-05-06,WAKE_UP,15357,hmm,50,none
2015-05-06,OUT_OF_BED,16386,hmm,19,none
2015-05-06,OUT_OF_BED,16643,hmm,57,none
2015-05-06,OUT_OF_BED,16643,hmm,11,none
2015-05-06,WAKE_UP,15465,hmm,60,none
2015-05-06,WAKE_UP,16292,hmm,59,none
2015-05-06,SLEEP,1423,hmm,-120,none
2015-05-06,WAKE_UP,1423,hmm,180,none
2015-05-06,OUT_OF_BED,1423,hmm,193,none
2015-05-06,OUT_OF_BED,16697,hmm,58,none
2015-05-06,IN_BED,16697,hmm,357,none
2015-05-06,WAKE_UP,15234,hmm,147,none
2015-05-06,OUT_OF_BED,16672,hmm,10,none
2015-05-06,SLEEP,16697,hmm,350,none
