account_id,algorithm,version,created_date,target_date
16354,hmm,none,2015-05-18,2015-05-15
16354,hmm,none,2015-05-18,2015-05-16
16354,hmm,none,2015-05-18,2015-05-17
17575,hmm,none,2015-05-16,2015-05-15
17575,hmm,none,2015-05-18,2015-05-16
17575,hmm,none,2015-05-18,2015-05-17
18547,hmm,none,2015-05-18,2015-05-17
17574,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
17574,hmm,none,2015-05-18,2015-05-16
16355,hmm,none,2015-05-18,2015-05-15
16355,hmm,none,2015-05-18,2015-05-16
16355,hmm,none,2015-05-18,2015-05-17
19518,hmm,none,2015-05-17,2015-05-15
19518,hmm,none,2015-05-18,2015-05-16
19518,hmm,none,2015-05-18,2015-05-17
16353,hmm,none,2015-05-17,2015-05-16
17571,hmm,none,2015-05-16,2015-05-15
17571,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
17571,hmm,none,2015-05-17,2015-05-16
17571,hmm,none,2015-05-18,2015-05-17
18551,hmm,none,2015-05-16,2015-05-15
18551,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
18551,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
1068,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
1068,hmm,none,2015-05-18,2015-05-16
19511,hmm,none,2015-05-17,2015-05-15
19511,hmm,none,2015-05-17,2015-05-16
19511,hmm,none,2015-05-18,2015-05-17
18555,hmm,none,2015-05-16,2015-05-15
18555,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
18555,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
16610,hmm,none,2015-05-16,2015-05-15
16610,hmm,none,2015-05-18,2015-05-17
18559,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
17578,hmm,none,2015-05-17,2015-05-15
17577,hmm,none,2015-05-16,2015-05-15
17577,hmm,none,2015-05-18,2015-05-16
17577,hmm,none,2015-05-18,2015-05-17
19505,hmm,none,2015-05-17,2015-05-15
19505,hmm,none,2015-05-18,2015-05-16
19505,hmm,none,2015-05-18,2015-05-17
18557,hmm,none,2015-05-18,2015-05-17
15265,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
17591,hmm,none,2015-05-16,2015-05-15
17591,hmm,none,2015-05-17,2015-05-16
17591,hmm,none,2015-05-18,2015-05-17
16632,hmm,none,2015-05-16,2015-05-15
16632,hmm,none,2015-05-18,2015-05-17
19501,hmm,none,2015-05-16,2015-05-15
17584,hmm,none,2015-05-17,2015-05-15
15286,hmm,none,2015-05-16,2015-05-15
15286,hmm,none,2015-05-18,2015-05-16
15286,hmm,none,2015-05-18,2015-05-17
19495,hmm,none,2015-05-16,2015-05-15
16627,hmm,none,2015-05-17,2015-05-15
16378,hmm,none,2015-05-18,2015-05-15
16378,hmm,none,2015-05-18,2015-05-16
16378,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
17597,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
17597,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
17597,hmm,none,2015-05-18,2015-05-17
18537,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
18537,hmm,none,2015-05-17,2015-05-16
18537,hmm,none,2015-05-18,2015-05-17
19490,hmm,none,2015-05-17,2015-05-15
19490,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
19490,hmm,none,2015-05-18,2015-05-17
18543,hmm,none,2015-05-16,2015-05-15
18543,hmm,none,2015-05-18,2015-05-16
18543,hmm,none,2015-05-18,2015-05-17
16389,hmm,none,2015-05-16,2015-05-15
16389,hmm,none,2015-05-17,2015-05-16
16389,hmm,none,2015-05-18,2015-05-17
19665,hmm,none,2015-05-18,2015-05-15
19665,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
19665,hmm,none,2015-05-18,2015-05-17
19666,hmm,none,2015-05-16,2015-05-15
1222,hmm,none,2015-05-17,2015-05-15
1222,hmm,none,2015-05-17,2015-05-16
19668,hmm,none,2015-05-18,2015-05-15
19668,hmm,none,2015-05-17,2015-05-16
19668,hmm,none,2015-05-18,2015-05-17
19672,hmm,none,2015-05-18,2015-05-15
19672,hmm,none,2015-05-18,2015-05-16
19672,hmm,none,2015-05-18,2015-05-17
1228,hmm,none,2015-05-18,2015-05-16
1228,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
1228,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
18577,hmm,none,2015-05-16,2015-05-15
18577,hmm,none,2015-05-17,2015-05-16
18577,hmm,none,2015-05-18,2015-05-17
19648,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
16154,hmm,none,2015-05-16,2015-05-15
16154,hmm,none,2015-05-17,2015-05-16
16154,hmm,none,2015-05-18,2015-05-17
19655,hmm,none,2015-05-17,2015-05-15
19655,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
19657,hmm,none,2015-05-17,2015-05-15
19657,hmm,none,2015-05-17,2015-05-16
19657,hmm,none,2015-05-18,2015-05-17
17488,hmm,none,2015-05-17,2015-05-15
17488,hmm,none,2015-05-18,2015-05-16
17488,hmm,none,2015-05-18,2015-05-17
19661,hmm,none,2015-05-17,2015-05-15
19661,hmm,none,2015-05-17,2015-05-16
19661,hmm,none,2015-05-18,2015-05-17
19660,hmm,none,2015-05-17,2015-05-15
19660,hmm,none,2015-05-17,2015-05-16
19663,hmm,none,2015-05-18,2015-05-17
16146,hmm,none,2015-05-16,2015-05-15
16175,hmm,none,2015-05-17,2015-05-15
16175,hmm,none,2015-05-17,2015-05-16
16175,hmm,none,2015-05-18,2015-05-17
19699,hmm,none,2015-05-16,2015-05-15
19699,hmm,none,2015-05-17,2015-05-16
17515,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
17515,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
19697,hmm,none,2015-05-16,2015-05-15
19697,hmm,none,2015-05-17,2015-05-16
19697,hmm,none,2015-05-18,2015-05-17
17519,hmm,none,2015-05-17,2015-05-16
17519,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
16169,hmm,none,2015-05-16,2015-05-15
16169,hmm,none,2015-05-18,2015-05-16
18614,hmm,none,2015-05-16,2015-05-15
18614,hmm,none,2015-05-18,2015-05-17
16431,hmm,none,2015-05-17,2015-05-15
16431,hmm,none,2015-05-17,2015-05-16
18615,hmm,none,2015-05-16,2015-05-15
18615,hmm,none,2015-05-17,2015-05-16
18615,hmm,none,2015-05-18,2015-05-17
18610,hmm,none,2015-05-17,2015-05-15
18610,hmm,none,2015-05-18,2015-05-16
18610,hmm,none,2015-05-18,2015-05-17
19710,hmm,none,2015-05-17,2015-05-15
19710,hmm,none,2015-05-17,2015-05-16
16163,hmm,none,2015-05-17,2015-05-15
16163,hmm,none,2015-05-18,2015-05-16
16163,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
16163,hmm,none,2015-05-18,2015-05-17
17510,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
15213,hmm,none,2015-05-17,2015-05-15
