date,event_type,account_id,algorithm,delta,version
2015-05-17,OUT_OF_BED,19854,hmm,19,none
2015-05-17,OUT_OF_BED,19355,hmm,-71,none
2015-05-17,OUT_OF_BED,19355,hmm,-71,none
2015-05-17,SLEEP,18971,hmm,120,none
2015-05-17,IN_BED,18971,hmm,118,none
2015-05-17,WAKE_UP,15249,hmm,29,none
2015-05-17,OUT_OF_BED,15073,hmm,78,none
2015-05-17,WAKE_UP,15073,hmm,94,none
2015-05-17,IN_BED,15841,hmm,36,none
2015-05-17,IN_BED,15073,hmm,-60,none
2015-05-17,OUT_OF_BED,17834,hmm,36,none
2015-05-17,SLEEP,15073,hmm,-60,none
2015-05-17,WAKE_UP,19274,hmm,40,none
2015-05-17,WAKE_UP,20515,hmm,30,none
2015-05-17,OUT_OF_BED,20515,hmm,23,none
2015-05-17,OUT_OF_BED,1690,hmm,14,none
2015-05-17,IN_BED,18300,hmm,-206,none
2015-05-17,SLEEP,18300,hmm,-205,none
2015-05-17,OUT_OF_BED,19030,hmm,8,none
2015-05-17,WAKE_UP,20014,hmm,0,none
2015-05-17,OUT_OF_BED,15132,hmm,15,none
2015-05-17,OUT_OF_BED,20014,hmm,19,none
2015-05-17,OUT_OF_BED,1792,hmm,20,none
2015-05-17,OUT_OF_BED,18300,hmm,57,none
2015-05-17,IN_BED,19149,hmm,48,none
2015-05-17,WAKE_UP,18300,hmm,53,none
2015-05-17,WAKE_UP,18300,hmm,53,none
2015-05-17,SLEEP,19149,hmm,60,none
2015-05-17,WAKE_UP,15244,hmm,92,none
2015-05-17,OUT_OF_BED,16691,hmm,12,none
2015-05-17,OUT_OF_BED,17708,hmm,32,none
2015-05-17,WAKE_UP,18739,hmm,20,none
2015-05-17,WAKE_UP,18094,hmm,90,none
2015-05-17,IN_BED,20555,hmm,32,none
2015-05-17,OUT_OF_BED,1931,hmm,10,none
2015-05-17,IN_BED,20507,hmm,40,none
2015-05-17,WAKE_UP,20543,hmm,-76,none
2015-05-17,SLEEP,15920,hmm,-60,none
2015-05-17,OUT_OF_BED,20543,hmm,-84,none
2015-05-17,WAKE_UP,15187,hmm,42,none
2015-05-17,OUT_OF_BED,15187,hmm,61,none
2015-05-17,WAKE_UP,20448,hmm,35,none
2015-05-17,IN_BED,15452,hmm,-117,none
2015-05-17,IN_BED,18967,hmm,45,none
2015-05-16,OUT_OF_BED,18161,hmm,-71,none
2015-05-16,WAKE_UP,18161,hmm,-60,none
2015-05-17,IN_BED,15537,hmm,-139,none
2015-05-17,WAKE_UP,15537,hmm,-11,none
2015-05-17,WAKE_UP,19380,hmm,17,none
2015-05-17,WAKE_UP,19380,hmm,17,none
2015-05-17,OUT_OF_BED,17040,hmm,12,none
2015-05-17,OUT_OF_BED,17040,hmm,7,none
2015-05-17,IN_BED,19941,hmm,61,none
2015-05-17,OUT_OF_BED,16925,hmm,12,none
2015-05-17,WAKE_UP,19243,hmm,138,none
2015-05-17,WAKE_UP,19243,hmm,49,none
2015-05-17,SLEEP,19941,hmm,18,none
2015-05-17,WAKE_UP,16925,hmm,39,none
2015-05-17,OUT_OF_BED,19243,hmm,8,none
2015-05-17,IN_BED,17957,hmm,-103,none
2015-05-17,OUT_OF_BED,19910,hmm,119,none
2015-05-17,OUT_OF_BED,19941,hmm,8,none
2015-05-17,OUT_OF_BED,16631,hmm,8,none
2015-05-17,WAKE_UP,19941,hmm,47,none
2015-05-17,IN_BED,17878,wupang,44,wupang_backup_for_hmm
2015-05-17,OUT_OF_BED,19069,hmm,14,none
2015-05-17,OUT_OF_BED,17878,wupang,112,wupang_backup_for_hmm
2015-05-17,WAKE_UP,18145,hmm,31,none
2015-05-17,OUT_OF_BED,18145,hmm,11,none
2015-05-17,SLEEP,20260,hmm,24,none
2015-05-17,IN_BED,20396,hmm,101,none
2015-05-17,IN_BED,19380,hmm,102,none
2015-05-17,OUT_OF_BED,20260,hmm,-31,none
2015-05-17,SLEEP,19380,hmm,94,none
2015-05-17,SLEEP,19380,hmm,94,none
2015-05-17,WAKE_UP,19380,hmm,-10,none
2015-05-17,OUT_OF_BED,19380,hmm,17,none
2015-05-17,OUT_OF_BED,19380,hmm,17,none
2015-05-17,SLEEP,15382,hmm,180,none
2015-05-17,OUT_OF_BED,17542,hmm,9,none
2015-05-17,WAKE_UP,17542,hmm,43,none
2015-05-17,IN_BED,19805,hmm,-29,none
2015-05-17,OUT_OF_BED,19685,hmm,26,none
2015-05-17,WAKE_UP,17683,hmm,19,none
2015-05-17,IN_BED,17542,hmm,119,none
2015-05-17,OUT_OF_BED,17683,hmm,60,none
2015-05-17,SLEEP,19137,hmm,-18,none
2015-05-17,IN_BED,19137,hmm,659,none
2015-05-17,IN_BED,18057,hmm,17,none
2015-05-17,IN_BED,15892,hmm,30,none
2015-05-17,WAKE_UP,19137,hmm,50,none
2015-05-17,OUT_OF_BED,19137,hmm,51,none
2015-05-17,WAKE_UP,15828,hmm,34,none
2015-05-17,OUT_OF_BED,18847,hmm,12,none
2015-05-17,IN_BED,18533,hmm,176,none
2015-05-17,WAKE_UP,19771,hmm,19,none
2015-05-17,WAKE_UP,19771,hmm,8,none
2015-05-17,WAKE_UP,19113,hmm,45,none
2015-05-17,OUT_OF_BED,19771,hmm,14,none
2015-05-17,WAKE_UP,19113,hmm,30,none
2015-05-17,OUT_OF_BED,20407,hmm,-30,none
2015-05-17,IN_BED,18493,hmm,258,none
2015-05-17,WAKE_UP,15926,hmm,-45,none
2015-05-17,SLEEP,19390,hmm,33,none
2015-05-17,WAKE_UP,16757,hmm,15,none
2015-05-17,OUT_OF_BED,17411,hmm,14,none
2015-05-17,IN_BED,20407,hmm,60,none
2015-05-17,OUT_OF_BED,19113,hmm,3,none
2015-05-17,OUT_OF_BED,18299,hmm,-36,none
2015-05-17,WAKE_UP,18889,hmm,25,none
2015-05-17,IN_BED,20536,hmm,56,none
2015-05-17,IN_BED,19928,hmm,197,none
2015-05-17,WAKE_UP,20536,hmm,33,none
2015-05-17,SLEEP,19928,hmm,198,none
2015-05-17,OUT_OF_BED,16554,hmm,8,none
2015-05-17,SLEEP,19026,hmm,-83,none
2015-05-17,IN_BED,20414,hmm,87,none
2015-05-17,WAKE_UP,18891,hmm,70,none
2015-05-17,OUT_OF_BED,19173,hmm,14,none
2015-05-17,IN_BED,18493,hmm,258,none
2015-05-17,OUT_OF_BED,19390,hmm,12,none
2015-05-17,IN_BED,18380,hmm,0,none
2015-05-17,OUT_OF_BED,18380,hmm,-39,none
2015-05-17,IN_BED,17950,hmm,-114,none
2015-05-17,IN_BED,19171,hmm,82,none
2015-05-17,IN_BED,19579,hmm,255,none
2015-05-17,IN_BED,18497,hmm,222,none
2015-05-17,WAKE_UP,19547,hmm,31,none
2015-05-17,WAKE_UP,20369,hmm,78,none
2015-05-17,WAKE_UP,19464,hmm,26,none
2015-05-17,SLEEP,17170,hmm,-120,none
2015-05-17,WAKE_UP,17170,hmm,79,none
2015-05-17,OUT_OF_BED,17170,hmm,105,none
2015-05-17,OUT_OF_BED,19343,hmm,10,none
2015-05-17,OUT_OF_BED,17992,hmm,28,none
2015-05-17,OUT_OF_BED,1229,hmm,11,none
2015-05-17,IN_BED,19173,hmm,0,none
2015-05-17,OUT_OF_BED,15926,hmm,-46,none
2015-05-17,OUT_OF_BED,20536,hmm,26,none
2015-05-17,SLEEP,17950,hmm,-85,none
2015-05-17,IN_BED,19026,hmm,-120,none
2015-05-17,SLEEP,19171,hmm,129,none
2015-05-17,SLEEP,20127,hmm,231,none
2015-05-15,OUT_OF_BED,19031,wupang,-180,wupang_backup_for_hmm
2015-05-15,WAKE_UP,19031,wupang,-180,wupang_backup_for_hmm
2015-05-17,SLEEP,17514,hmm,-13,none
2015-05-17,WAKE_UP,15234,hmm,35,none
2015-05-17,OUT_OF_BED,20466,hmm,12,none
2015-05-17,WAKE_UP,17514,hmm,22,none
2015-05-17,SLEEP,20544,hmm,0,none
2015-05-17,OUT_OF_BED,17514,hmm,-41,none
2015-05-17,OUT_OF_BED,20544,hmm,53,none
2015-05-17,WAKE_UP,1861,hmm,31,none
2015-05-17,OUT_OF_BED,17186,hmm,-38,none
2015-05-17,OUT_OF_BED,1861,hmm,21,none
2015-05-17,WAKE_UP,16558,hmm,50,none
2015-05-17,OUT_OF_BED,16558,hmm,0,none
2015-05-17,WAKE_UP,20544,hmm,33,none
2015-05-17,SLEEP,17672,wupang,976,wupang_backup_for_hmm
2015-05-17,WAKE_UP,17186,hmm,-42,none
2015-05-17,WAKE_UP,18497,hmm,29,none
2015-05-17,OUT_OF_BED,17186,hmm,-54,none
2015-05-17,WAKE_UP,1614,hmm,40,none
2015-05-17,OUT_OF_BED,1614,hmm,3,none
2015-05-17,IN_BED,17170,hmm,-120,none
2015-05-17,OUT_OF_BED,19968,hmm,25,none
2015-05-17,OUT_OF_BED,16729,hmm,-17,none
2015-05-17,SLEEP,19343,hmm,175,none
2015-05-17,IN_BED,19343,hmm,176,none
2015-05-17,WAKE_UP,19343,hmm,60,none
