account_id,algorithm,version,created_date,target_date
1001,hmm,none,2015-04-27,2015-04-21
1001,hmm,none,2015-04-27,2015-04-22
1001,hmm,none,2015-04-27,2015-04-23
1001,hmm,none,2015-04-27,2015-04-24
1001,hmm,none,2015-04-29,2015-04-25
1001,hmm,none,2015-04-29,2015-04-26
1001,hmm,none,2015-04-28,2015-04-27
1002,hmm,none,2015-04-24,2015-04-21
1002,hmm,none,2015-04-24,2015-04-22
1002,hmm,none,2015-04-27,2015-04-23
1002,hmm,none,2015-04-27,2015-04-24
1002,hmm,none,2015-04-30,2015-04-25
1002,hmm,none,2015-04-30,2015-04-26
1002,hmm,none,2015-04-30,2015-04-27
1003,wupang,none,2015-04-28,2015-04-26
1003,wupang,none,2015-04-28,2015-04-27
1006,voting,none,2015-04-25,2015-04-21
1006,voting,none,2015-04-29,2015-04-22
1006,voting,none,2015-04-29,2015-04-23
1006,voting,none,2015-04-29,2015-04-24
1006,voting,none,2015-04-29,2015-04-25
1006,voting,none,2015-04-30,2015-04-26
1006,voting,none,2015-04-30,2015-04-27
1012,hmm,none,2015-04-23,2015-04-21
1012,hmm,none,2015-04-24,2015-04-22
1012,hmm,none,2015-04-26,2015-04-23
1012,hmm,none,2015-04-29,2015-04-27
1013,wupang,none,2015-04-22,2015-04-21
1013,wupang,none,2015-04-24,2015-04-23
1013,wupang,none,2015-04-25,2015-04-24
1013,wupang,none,2015-04-27,2015-04-25
1013,wupang,none,2015-04-28,2015-04-27
1025,voting,none,2015-04-27,2015-04-25
1025,voting,none,2015-04-28,2015-04-26
1025,voting,none,2015-04-29,2015-04-27
1038,hmm,none,2015-04-24,2015-04-21
1038,hmm,none,2015-04-24,2015-04-22
1038,hmm,none,2015-04-26,2015-04-23
1038,hmm,none,2015-04-26,2015-04-24
1038,hmm,none,2015-04-26,2015-04-25
1049,voting,none,2015-04-27,2015-04-21
1049,voting,none,2015-04-29,2015-04-26
1049,voting,none,2015-04-29,2015-04-27
1050,hmm,none,2015-04-22,2015-04-21
1050,hmm,none,2015-04-24,2015-04-22
1050,hmm,none,2015-04-25,2015-04-23
1050,hmm,none,2015-04-29,2015-04-26
1050,hmm,none,2015-04-29,2015-04-27
1053,hmm,none,2015-04-22,2015-04-21
1053,hmm,none,2015-04-27,2015-04-22
1053,hmm,none,2015-04-27,2015-04-24
1053,hmm,none,2015-04-27,2015-04-25
1053,hmm,none,2015-04-29,2015-04-26
1053,hmm,none,2015-04-29,2015-04-27
1056,voting,none,2015-04-26,2015-04-21
1056,voting,none,2015-04-28,2015-04-22
1056,voting,none,2015-04-28,2015-04-23
1056,voting,none,2015-04-28,2015-04-24
1056,voting,none,2015-04-28,2015-04-25
1056,voting,none,2015-04-28,2015-04-26
1056,voting,none,2015-04-28,2015-04-27
1057,wupang,none,2015-04-28,2015-04-27
1060,hmm,none,2015-04-22,2015-04-21
1061,wupang,none,2015-04-26,2015-04-24
1061,hmm,none,2015-04-30,2015-04-25
1062,hmm,none,2015-04-26,2015-04-22
1062,hmm,none,2015-04-27,2015-04-23
1062,hmm,none,2015-04-27,2015-04-24
1062,hmm,none,2015-04-27,2015-04-25
1062,hmm,none,2015-04-28,2015-04-26
1062,hmm,none,2015-04-29,2015-04-27
1063,wupang,none,2015-04-25,2015-04-22
1063,wupang,none,2015-04-25,2015-04-23
1063,wupang,none,2015-04-26,2015-04-24
1063,wupang,none,2015-04-27,2015-04-25
1063,wupang,none,2015-04-29,2015-04-26
1063,wupang,none,2015-04-29,2015-04-27
1064,wupang,none,2015-04-24,2015-04-22
1064,wupang,none,2015-04-27,2015-04-23
1064,wupang,none,2015-04-26,2015-04-24
1064,wupang,none,2015-04-28,2015-04-25
1064,wupang,none,2015-04-28,2015-04-26
1064,wupang,none,2015-04-28,2015-04-27
1067,voting,none,2015-04-23,2015-04-21
1067,voting,none,2015-04-24,2015-04-22
1067,voting,none,2015-04-25,2015-04-23
1068,hmm,none,2015-04-23,2015-04-21
1068,hmm,none,2015-04-25,2015-04-23
1068,hmm,none,2015-04-26,2015-04-24
1070,hmm,none,2015-04-29,2015-04-24
1070,hmm,none,2015-04-29,2015-04-25
1070,hmm,none,2015-04-29,2015-04-26
1070,hmm,none,2015-04-29,2015-04-27
1071,hmm,none,2015-04-23,2015-04-21
1071,wupang,none,2015-04-27,2015-04-25
1071,wupang,none,2015-04-28,2015-04-26
1071,hmm,none,2015-04-29,2015-04-27
1071,wupang,none,2015-04-28,2015-04-27
1072,hmm,none,2015-04-29,2015-04-26
1072,voting,none,2015-04-27,2015-04-26
1072,hmm,none,2015-04-29,2015-04-27
1075,wupang,none,2015-04-28,2015-04-21
1086,voting,none,2015-04-24,2015-04-21
1086,voting,none,2015-04-24,2015-04-22
1086,voting,none,2015-04-24,2015-04-23
1086,voting,none,2015-04-28,2015-04-25
1086,voting,none,2015-04-28,2015-04-26
1090,hmm,none,2015-04-25,2015-04-23
1092,hmm,none,2015-04-23,2015-04-21
1092,hmm,none,2015-04-23,2015-04-22
1092,wupang,none,2015-04-27,2015-04-25
1092,hmm,none,2015-04-29,2015-04-26
1092,hmm,none,2015-04-29,2015-04-27
1093,hmm,none,2015-04-23,2015-04-21
1093,hmm,none,2015-04-26,2015-04-25
1093,hmm,none,2015-04-27,2015-04-26
1093,hmm,none,2015-04-28,2015-04-27
1096,wupang,none,2015-04-28,2015-04-27
1106,wupang,none,2015-04-27,2015-04-23
1106,wupang,none,2015-04-27,2015-04-24
1107,wupang,none,2015-04-22,2015-04-21
1107,wupang,none,2015-04-23,2015-04-22
1107,wupang,none,2015-04-24,2015-04-23
1107,wupang,none,2015-04-29,2015-04-24
1107,wupang,none,2015-04-29,2015-04-25
1107,wupang,none,2015-04-29,2015-04-26
1107,wupang,none,2015-04-29,2015-04-27
1112,hmm,none,2015-04-23,2015-04-21
1112,hmm,none,2015-04-24,2015-04-23
1112,hmm,none,2015-04-26,2015-04-25
1112,hmm,none,2015-04-27,2015-04-26
1112,hmm,none,2015-04-28,2015-04-27
1113,wupang,none,2015-04-22,2015-04-21
1113,wupang,none,2015-04-23,2015-04-22
1113,wupang,none,2015-04-24,2015-04-23
1113,wupang,none,2015-04-26,2015-04-25
1113,wupang,none,2015-04-27,2015-04-26
1113,wupang,none,2015-04-28,2015-04-27
1139,wupang,none,2015-04-23,2015-04-21
1139,wupang,none,2015-04-23,2015-04-22
1139,wupang,none,2015-04-25,2015-04-23
1139,wupang,none,2015-04-26,2015-04-24
1139,wupang,none,2015-04-27,2015-04-25
1139,wupang,none,2015-04-30,2015-04-26
1139,wupang,none,2015-04-30,2015-04-27
1158,wupang,none,2015-04-22,2015-04-21
1158,wupang,none,2015-04-23,2015-04-22
1158,wupang,none,2015-04-25,2015-04-23
1158,wupang,none,2015-04-25,2015-04-24
1158,wupang,none,2015-04-27,2015-04-25
1158,wupang,none,2015-04-28,2015-04-26
1158,wupang,none,2015-04-28,2015-04-27
1165,wupang,none,2015-04-26,2015-04-24
1165,wupang,none,2015-04-28,2015-04-27
1190,hmm,none,2015-04-23,2015-04-22
1190,hmm,none,2015-04-24,2015-04-23
1190,wupang,none,2015-04-26,2015-04-23
1190,hmm,none,2015-04-25,2015-04-24
1190,wupang,none,2015-04-26,2015-04-24
1190,wupang,none,2015-04-27,2015-04-25
1190,hmm,none,2015-04-29,2015-04-26
1190,wupang,none,2015-04-27,2015-04-26
1190,hmm,none,2015-04-30,2015-04-27
1191,hmm,none,2015-04-24,2015-04-22
1191,hmm,none,2015-04-24,2015-04-23
1191,wupang,none,2015-04-27,2015-04-25
1191,wupang,none,2015-04-27,2015-04-26
1197,wupang,none,2015-04-22,2015-04-21
1197,wupang,none,2015-04-23,2015-04-22
1197,wupang,none,2015-04-24,2015-04-23
1197,wupang,none,2015-04-26,2015-04-24
1197,wupang,none,2015-04-29,2015-04-25
1197,wupang,none,2015-04-28,2015-04-26
1197,wupang,none,2015-04-29,2015-04-27
1211,hmm,none,2015-04-24,2015-04-21
1211,hmm,none,2015-04-25,2015-04-22
1211,hmm,none,2015-04-25,2015-04-23
1211,wupang,none,2015-04-26,2015-04-23
1211,hmm,none,2015-04-25,2015-04-24
1211,wupang,none,2015-04-26,2015-04-24
1211,wupang,none,2015-04-28,2015-04-25
1211,wupang,none,2015-04-28,2015-04-26
1211,hmm,none,2015-04-29,2015-04-27
1211,wupang,none,2015-04-28,2015-04-27
1225,wupang,none,2015-04-23,2015-04-21
1225,wupang,none,2015-04-24,2015-04-22
1225,wupang,none,2015-04-25,2015-04-23
1225,wupang,none,2015-04-26,2015-04-24
1225,wupang,none,2015-04-27,2015-04-25
1225,wupang,none,2015-04-28,2015-04-26
1225,wupang,none,2015-04-29,2015-04-27
1228,wupang,none,2015-04-23,2015-04-21
1228,wupang,none,2015-04-24,2015-04-22
1228,wupang,none,2015-04-27,2015-04-24
1228,wupang,none,2015-04-27,2015-04-25
1228,wupang,none,2015-04-27,2015-04-26
1228,wupang,none,2015-04-29,2015-04-27
1278,wupang,none,2015-04-22,2015-04-21
1278,wupang,none,2015-04-23,2015-04-22
1278,wupang,none,2015-04-25,2015-04-23
1278,wupang,none,2015-04-26,2015-04-24
1278,wupang,none,2015-04-27,2015-04-25
1278,wupang,none,2015-04-28,2015-04-26
1278,wupang,none,2015-04-28,2015-04-27
1305,wupang,none,2015-04-23,2015-04-21
1305,wupang,none,2015-04-24,2015-04-22
1305,wupang,none,2015-04-25,2015-04-23
1305,wupang,none,2015-04-25,2015-04-24
1305,wupang,none,2015-04-29,2015-04-27
1307,wupang,none,2015-04-22,2015-04-21
1307,wupang,none,2015-04-24,2015-04-22
1307,wupang,none,2015-04-25,2015-04-24
1307,wupang,none,2015-04-29,2015-04-25
1307,wupang,none,2015-04-28,2015-04-26
1307,wupang,none,2015-04-29,2015-04-27
1310,hmm,none,2015-04-24,2015-04-21
1310,voting,none,2015-04-27,2015-04-21
1310,hmm,none,2015-04-24,2015-04-22
1310,voting,none,2015-04-28,2015-04-22
1310,hmm,none,2015-04-25,2015-04-23
1310,voting,none,2015-04-27,2015-04-23
1310,voting,none,2015-04-27,2015-04-24
1310,hmm,none,2015-04-28,2015-04-25
1310,voting,none,2015-04-28,2015-04-25
1310,hmm,none,2015-04-28,2015-04-26
1310,voting,none,2015-04-28,2015-04-26
1310,hmm,none,2015-04-28,2015-04-27
1314,wupang,none,2015-04-22,2015-04-21
1314,wupang,none,2015-04-24,2015-04-22
1314,wupang,none,2015-04-25,2015-04-23
1314,wupang,none,2015-04-26,2015-04-24
1314,wupang,none,2015-04-27,2015-04-25
1314,wupang,none,2015-04-28,2015-04-26
1320,wupang,none,2015-04-28,2015-04-21
1320,hmm,none,2015-04-25,2015-04-22
1320,wupang,none,2015-04-28,2015-04-22
1320,hmm,none,2015-04-25,2015-04-23
1320,wupang,none,2015-04-28,2015-04-23
1320,hmm,none,2015-04-25,2015-04-24
1320,wupang,none,2015-04-28,2015-04-24
1320,wupang,none,2015-04-27,2015-04-25
1320,wupang,none,2015-04-28,2015-04-26
1321,hmm,none,2015-04-23,2015-04-21
1321,hmm,none,2015-04-25,2015-04-23
