date,event_type,account_id,algorithm,delta,version
2015-04-21,OUT_OF_BED,15069,wupang,29,none
2015-04-21,SLEEP,15326,wupang,20,none
2015-04-21,OUT_OF_BED,1931,hmm,12,none
2015-04-21,OUT_OF_BED,15233,wupang,31,none
2015-04-21,WAKE_UP,15233,wupang,36,none
2015-04-21,WAKE_UP,15329,wupang,50,none
2015-04-21,OUT_OF_BED,15329,wupang,43,none
2015-04-21,WAKE_UP,1768,wupang,44,none
2015-04-21,OUT_OF_BED,1768,wupang,33,none
2015-04-21,IN_BED,15354,wupang,111,none
2015-04-21,SLEEP,15354,wupang,110,none
2015-04-21,IN_BED,1414,wupang,-10,none
2015-04-21,IN_BED,1414,wupang,-10,none
2015-04-21,WAKE_UP,1508,wupang,231,none
2015-04-21,WAKE_UP,1508,wupang,11,none
2015-04-21,SLEEP,1508,wupang,65,none
2015-04-21,WAKE_UP,15523,wupang,31,none
2015-04-21,OUT_OF_BED,15523,wupang,20,none
2015-04-21,WAKE_UP,15523,wupang,28,none
2015-04-21,WAKE_UP,1792,hmm,45,none
2015-04-21,OUT_OF_BED,15546,wupang,71,none
2015-04-21,SLEEP,15387,wupang,4,none
2015-04-21,OUT_OF_BED,1899,wupang,43,none
2015-04-21,SLEEP,15524,wupang,-51,none
2015-04-21,WAKE_UP,1541,hmm,44,none
2015-04-21,WAKE_UP,1508,wupang,-11,none
2015-04-21,OUT_OF_BED,1541,hmm,12,none
2015-04-21,OUT_OF_BED,1508,wupang,-19,none
2015-04-21,OUT_OF_BED,1508,wupang,-20,none
2015-04-21,OUT_OF_BED,1506,wupang,73,none
2015-04-21,SLEEP,15247,wupang,10,none
2015-04-21,WAKE_UP,1496,wupang,108,none
2015-04-21,IN_BED,15364,wupang,29,none
2015-04-21,SLEEP,15364,wupang,60,none
2015-04-21,IN_BED,15730,hmm,-344,none
2015-04-21,SLEEP,15730,hmm,-242,none
2015-04-21,OUT_OF_BED,15292,hmm,19,none
2015-04-21,SLEEP,15249,wupang,14,none
2015-04-21,WAKE_UP,1930,hmm,27,none
2015-04-21,WAKE_UP,15423,wupang,180,none
2015-04-21,WAKE_UP,1400,hmm,19,none
2015-04-21,OUT_OF_BED,1400,hmm,10,none
2015-04-21,OUT_OF_BED,1545,wupang,41,none
2015-04-21,WAKE_UP,1545,wupang,41,none
2015-04-21,OUT_OF_BED,15110,hmm,14,none
2015-04-21,SLEEP,15307,wupang,29,none
2015-04-21,WAKE_UP,15143,wupang,24,none
2015-04-21,OUT_OF_BED,15145,wupang,10,none
2015-04-21,WAKE_UP,15365,wupang,10,none
2015-04-21,WAKE_UP,1763,wupang,26,none
2015-04-21,OUT_OF_BED,1763,wupang,25,none
2015-04-21,WAKE_UP,1588,wupang,107,none
2015-04-21,WAKE_UP,15217,wupang,81,none
2015-04-21,OUT_OF_BED,15315,wupang,17,none
2015-04-21,OUT_OF_BED,1498,wupang,26,none
2015-04-21,WAKE_UP,1498,wupang,10,none
2015-04-21,OUT_OF_BED,15265,wupang,13,none
2015-04-21,SLEEP,15238,wupang,165,none
2015-04-21,OUT_OF_BED,15086,wupang,27,none
2015-04-21,SLEEP,15265,wupang,-51,none
2015-04-21,SLEEP,15234,wupang,8,none
2015-04-21,WAKE_UP,15234,wupang,20,none
2015-04-21,OUT_OF_BED,15234,wupang,11,none
2015-04-21,SLEEP,15296,wupang,270,none
2015-04-21,IN_BED,1614,wupang,-14,none
2015-04-21,WAKE_UP,1614,wupang,67,none
2015-04-21,OUT_OF_BED,1614,wupang,57,none
2015-04-21,SLEEP,15539,wupang,85,none
2015-04-21,WAKE_UP,15539,wupang,41,none
2015-04-21,OUT_OF_BED,15539,wupang,-13,none
2015-04-21,OUT_OF_BED,1727,wupang,23,none
2015-04-21,WAKE_UP,1727,wupang,-9,none
2015-04-21,WAKE_UP,15247,wupang,-18,none
2015-04-21,OUT_OF_BED,15510,hmm,-51,none
2015-04-21,WAKE_UP,1861,hmm,40,none
2015-04-21,OUT_OF_BED,1861,hmm,13,none
2015-04-21,OUT_OF_BED,15536,wupang,57,none
2015-04-21,OUT_OF_BED,15348,wupang,60,none
2015-04-21,WAKE_UP,15348,wupang,92,none
2015-04-21,WAKE_UP,15070,hmm,52,none
2015-04-21,OUT_OF_BED,15633,wupang,38,none
2015-04-21,IN_BED,15711,hmm,43,none
2015-04-21,OUT_OF_BED,15639,wupang,91,none
2015-04-21,WAKE_UP,15633,wupang,-42,none
2015-04-21,WAKE_UP,15294,wupang,59,none
2015-04-21,OUT_OF_BED,15294,wupang,59,none
2015-04-21,SLEEP,1278,wupang,123,none
2015-04-21,OUT_OF_BED,15070,hmm,36,none
2015-04-21,WAKE_UP,15070,hmm,51,none
2015-04-21,OUT_OF_BED,15070,hmm,11,none
2015-04-21,WAKE_UP,1515,wupang,99,none
2015-04-21,OUT_OF_BED,1515,wupang,98,none
2015-04-21,WAKE_UP,1863,wupang,173,none
2015-04-21,OUT_OF_BED,1745,wupang,76,none
2015-04-21,OUT_OF_BED,1745,wupang,76,none
2015-04-21,OUT_OF_BED,1863,wupang,180,none
2015-04-21,OUT_OF_BED,15302,hmm,12,none
2015-04-21,OUT_OF_BED,15374,wupang,90,none
2015-04-21,WAKE_UP,15302,hmm,2,none
2015-04-21,WAKE_UP,15073,wupang,123,none
2015-04-21,OUT_OF_BED,15073,wupang,113,none
2015-04-21,WAKE_UP,15512,hmm,-84,none
2015-04-21,OUT_OF_BED,15512,hmm,-85,none
2015-04-21,OUT_OF_BED,15229,wupang,40,none
2015-04-21,OUT_OF_BED,15229,wupang,7,none
2015-04-21,OUT_OF_BED,1479,wupang,180,none
2015-04-21,OUT_OF_BED,1522,hmm,0,none
2015-04-21,OUT_OF_BED,1522,hmm,-7,none
2015-04-21,WAKE_UP,1522,hmm,27,none
2015-04-21,OUT_OF_BED,15534,wupang,33,none
2015-04-21,WAKE_UP,15534,wupang,76,none
2015-04-21,IN_BED,15583,wupang,322,none
2015-04-21,SLEEP,15583,wupang,321,none
2015-04-21,WAKE_UP,1323,wupang,69,none
2015-04-21,OUT_OF_BED,1323,wupang,127,none
2015-04-21,WAKE_UP,15159,wupang,174,none
2015-04-21,OUT_OF_BED,15159,wupang,162,none
2015-04-21,OUT_OF_BED,15486,wupang,20,none
2015-04-21,OUT_OF_BED,1839,wupang,120,none
2015-04-21,WAKE_UP,1839,wupang,120,none
2015-04-21,IN_BED,1839,wupang,-60,none
2015-04-21,OUT_OF_BED,15292,hmm,-8,none
2015-04-21,OUT_OF_BED,1184,wupang,4,none
2015-04-21,OUT_OF_BED,1676,wupang,9,none
2015-04-21,OUT_OF_BED,15604,wupang,88,none
2015-04-21,OUT_OF_BED,15601,hmm,12,none
2015-04-21,WAKE_UP,15601,hmm,-20,none
2015-04-21,SLEEP,15176,wupang,61,none
2015-04-21,OUT_OF_BED,1489,wupang,114,none
2015-04-21,OUT_OF_BED,1489,wupang,114,none
2015-04-21,OUT_OF_BED,1489,wupang,-6,none
2015-04-21,SLEEP,15733,wupang,187,none
2015-04-21,WAKE_UP,1487,wupang,49,none
2015-04-21,OUT_OF_BED,1487,wupang,92,none
2015-04-21,OUT_OF_BED,1599,wupang,107,none
2015-04-21,WAKE_UP,15070,hmm,-60,none
2015-04-21,WAKE_UP,1599,wupang,124,none
2015-04-21,WAKE_UP,15257,wupang,46,none
2015-04-21,WAKE_UP,15257,wupang,46,none
2015-04-21,OUT_OF_BED,15070,hmm,-53,none
2015-04-21,OUT_OF_BED,1599,wupang,52,none
2015-04-21,OUT_OF_BED,15540,hmm,-24,none
2015-04-21,OUT_OF_BED,15540,hmm,-31,none
2015-04-21,WAKE_UP,15357,wupang,60,none
2015-04-21,WAKE_UP,1112,hmm,-18,none
2015-04-21,WAKE_UP,15357,wupang,9,none
2015-04-21,WAKE_UP,1323,wupang,-113,none
2015-04-21,WAKE_UP,1323,wupang,-115,none
2015-04-21,OUT_OF_BED,15357,wupang,8,none
2015-04-21,WAKE_UP,15469,wupang,136,none
2015-04-21,OUT_OF_BED,15469,wupang,139,none
2015-04-21,OUT_OF_BED,15094,wupang,60,none
2015-04-21,OUT_OF_BED,1112,hmm,-18,none
2015-04-21,WAKE_UP,15711,hmm,82,none
2015-04-21,OUT_OF_BED,15121,hmm,-41,none
2015-04-21,OUT_OF_BED,15404,wupang,-8,none
2015-04-21,WAKE_UP,15711,hmm,380,none
2015-04-21,WAKE_UP,15711,hmm,6,none
2015-04-21,SLEEP,15117,wupang,-9,none
